CryptoSwift.o                                      			0.57M
UMAPM[112]                                         			0.00M
UMAPM[40]                                          			0.00M
libspeechsdk.a[arm64][270]                         			0.00M
libspeechsdk.a[arm64][165]                         			0.00M
UMAPM[3]                                           			0.00M
libspeechsdk.a[arm64][84]                          			0.00M
TYRZUISDK[arm64][20]                               			0.00M
libspeechsdk.a[arm64][253]                         			0.00M
libspeechsdk.a[arm64][157]                         			0.00M
libJCore.a[35]                                     			0.00M
UMAPM[62]                                          			0.00M
UMCommon[54]                                       			0.00M
UMAPM[99]                                          			0.00M
libobjc.A.tbd                                      			0.00M
BCPlatformImp.o                                    			0.00M
BCTTSImp.o                                         			0.00M
TTNetworkManager                                   			0.00M
UMAPM[9]                                           			0.00M
UMCommon[38]                                       			0.00M
libspeechsdk.a[arm64][89]                          			0.00M
TYRZUISDK[arm64][18]                               			0.00M
libspeechsdk.a[arm64][123]                         			0.00M
libspeechsdk.a[arm64][207]                         			0.00M
UMAPM[147]                                         			0.00M
libspeechsdk.a[arm64][277]                         			0.00M
libJPushExtension.a[10]                            			0.00M
JPushInitialization.o                              			0.00M
UMAPM[105]                                         			0.00M
libspeechsdk.a[arm64][257]                         			0.00M
EAccountApiSDK[5]                                  			0.00M
libspeechsdk.a[arm64][254]                         			0.00M
libJCore.a[92]                                     			0.00M
libsystem_kernel.dylib                             			0.00M
UMAPM[94]                                          			0.00M
libJVerification.a[10]                             			0.00M
UMAPM[52]                                          			0.00M
libspeechsdk.a[arm64][161]                         			0.00M
CustomSafariViewController.o                       			0.00M
libJPush.a[29]                                     			0.00M
libswiftCompatibility56.a[arm64][7]                			0.00M
UMAPM[54]                                          			0.00M
UMCommon[13]                                       			0.00M
TYRZUISDK[arm64][36]                               			0.00M
TYRZUISDK[arm64][32]                               			0.00M
libJVerification.a[30]                             			0.00M
libJCore.a[36]                                     			0.00M
UMAPM[53]                                          			0.00M
EAccountApiSDK[26]                                 			0.00M
UMAPM[122]                                         			0.00M
libJPush.a[39]                                     			0.00M
libJPush.a[4]                                      			0.00M
UMCommon[4]                                        			0.00M
UMCommon[7]                                        			0.00M
UMCommon[61]                                       			0.00M
libspeechsdk.a[arm64][79]                          			0.00M
TYRZUISDK[arm64][27]                               			0.00M
UMCommon[41]                                       			0.00M
UMAPM[41]                                          			0.00M
libspeechsdk.a[arm64][296]                         			0.00M
libswiftCompatibility56.a[arm64][9]                			0.00M
EAccountApiSDK[32]                                 			0.00M
UMAPM[143]                                         			0.00M
TYRZUISDK[arm64][44]                               			0.00M
UMAPM[129]                                         			0.00M
EAccountApiSDK[27]                                 			0.00M
Security.tbd                                       			0.00M
ExtensionsPanelModel.o                             			0.00M
libspeechsdk.a[arm64][154]                         			0.00M
libspeechsdk.a[arm64][174]                         			0.00M
MethodChannelTracker.o                             			0.00M
EAccountApiSDK[25]                                 			0.00M
libspeechsdk.a[arm64][188]                         			0.00M
libspeechsdk.a[arm64][155]                         			0.00M
main.o                                             			0.00M
OAuth[6]                                           			0.00M
libJCore.a[44]                                     			0.00M
libspeechsdk.a[arm64][127]                         			0.00M
account_login_sdk_noui_core[arm64][7]              			0.00M
UMAPM[25]                                          			0.00M
libJPush.a[13]                                     			0.00M
libspeechsdk.a[arm64][133]                         			0.00M
libspeechsdk.a[arm64][223]                         			0.00M
libspeechsdk.a[arm64][176]                         			0.00M
libspeechsdk.a[arm64][111]                         			0.00M
libspeechsdk.a[arm64][106]                         			0.00M
BCTTSConfigChangedImpl.o                           			0.00M
UMAPM[58]                                          			0.00M
BoostDelegate.o                                    			0.00M
UMCommon[60]                                       			0.00M
libJCore.a[34]                                     			0.00M
libspeechsdk.a[arm64][274]                         			0.00M
WKWebView+ReportException.o                        			0.00M
libJCore.a[100]                                    			0.00M
libspeechsdk.a[arm64][158]                         			0.00M
libSpeechEngineToB_SpeechEngineToB_awesome_ios.a[arm64][6] 			0.00M
UMAPM[85]                                          			0.00M
libJCore.a[146]                                    			0.00M
libspeechsdk.a[arm64][130]                         			0.00M
libdispatch.dylib                                  			0.00M
libspeechsdk.a[arm64][113]                         			0.00M
TYRZUISDK[arm64][31]                               			0.00M
Defaults+Keys.o                                    			0.00M
UMCommon[63]                                       			0.00M
libspeechsdk.a[arm64][105]                         			0.00M
libspeechsdk.a[arm64][190]                         			0.00M
TYRZUISDK[arm64][50]                               			0.00M
libswiftCompatibility56.a[arm64][11]               			0.00M
CoreGraphics.tbd                                   			0.00M
libspeechsdk.a[arm64][182]                         			0.00M
FlutterBoostChannel.o                              			0.00M
libspeechsdk.a[arm64][98]                          			0.00M
libspeechsdk.a[arm64][183]                         			0.00M
libspeechsdk.a[arm64][263]                         			0.00M
libswiftDispatch.tbd                               			0.00M
TYRZUISDK[arm64][34]                               			0.00M
UMAPM[128]                                         			0.00M
BCEnvironment.o                                    			0.00M
UMAPM[61]                                          			0.00M
UMAPM[17]                                          			0.00M
UIKitCore                                          			0.00M
libSpeechEngineToB_SpeechEngineToB_awesome_ios.a[arm64][4] 			0.00M
libspeechsdk.a[arm64][146]                         			0.00M
libJVerification.a[33]                             			0.00M
Network.tbd                                        			0.00M
libspeechsdk.a[arm64][115]                         			0.00M
String+Token.o                                     			0.00M
BCSharedPreferencesChangedFImpl.o                  			0.00M
libspeechsdk.a[arm64][137]                         			0.00M
UMAPM[140]                                         			0.00M
libswiftCompatibility56.a[arm64][6]                			0.00M
libspeechsdk.a[arm64][178]                         			0.00M
GeneratedAssetSymbols.o                            			0.00M
libspeechsdk.a[arm64][131]                         			0.00M
Alamofire                                          			0.00M
BCAppInfoImpl.o                                    			0.00M
libspeechsdk.a[arm64][170]                         			0.00M
libspeechsdk.a[arm64][171]                         			0.00M
libspeechsdk.a[arm64][107]                         			0.00M
libspeechsdk.a[arm64][122]                         			0.00M
UMAPM[50]                                          			0.00M
libspeechsdk.a[arm64][191]                         			0.00M
UMAPM[125]                                         			0.00M
TYRZUISDK[arm64][48]                               			0.00M
CFNetwork.tbd                                      			0.00M
WebViewChannel.o                                   			0.00M
libspeechsdk.a[arm64][180]                         			0.00M
libspeechsdk.a[arm64][99]                          			0.00M
libspeechsdk.a[arm64][104]                         			0.00M
libspeechsdk.a[arm64][140]                         			0.00M
libspeechsdk.a[arm64][162]                         			0.00M
libspeechsdk.a[arm64][166]                         			0.00M
libspeechsdk.a[arm64][299]                         			0.00M
libsystem_pthread.dylib                            			0.00M
libspeechsdk.a[arm64][87]                          			0.00M
libspeechsdk.a[arm64][101]                         			0.00M
UMAPM[26]                                          			0.00M
UMAPM[27]                                          			0.00M
libspeechsdk.a[arm64][203]                         			0.00M
libspeechsdk.a[arm64][204]                         			0.00M
EAccountApiSDK[14]                                 			0.00M
libJCore.a[119]                                    			0.00M
UMCommonLog[arm64][7]                              			0.00M
UMAPM[74]                                          			0.00M
libspeechsdk.a[arm64][108]                         			0.00M
libspeechsdk.a[arm64][175]                         			0.00M
libswiftCompatibility56.a[arm64][16]               			0.00M
UMAPM[70]                                          			0.00M
libspeechsdk.a[arm64][201]                         			0.00M
libswiftCompatibilityConcurrency.a[arm64][6]       			0.00M
BCUserImp.o                                        			0.00M
libspeechsdk.a[arm64][125]                         			0.00M
libspeechsdk.a[arm64][132]                         			0.00M
libspeechsdk.a[arm64][185]                         			0.00M
UMAPM[87]                                          			0.00M
libswiftCompatibility56.a[arm64][13]               			0.00M
account_login_sdk_noui_core[arm64][6]              			0.00M
libspeechsdk.a[arm64][129]                         			0.00M
libspeechsdk.a[arm64][168]                         			0.00M
libspeechsdk.a[arm64][116]                         			0.00M
libspeechsdk.a[arm64][172]                         			0.00M
UMAPM[137]                                         			0.00M
RxSwift.tbd                                        			0.00M
libJCore.a[74]                                     			0.00M
libswiftCompatibility50.a[arm64][6]                			0.00M
libspeechsdk.a[arm64][141]                         			0.00M
libswiftCompatibility50.a[arm64][7]                			0.00M
libspeechsdk.a[arm64][213]                         			0.00M
libspeechsdk.a[arm64][167]                         			0.00M
libspeechsdk.a[arm64][209]                         			0.00M
libsystem_m.dylib                                  			0.00M
libspeechsdk.a[arm64][202]                         			0.00M
libspeechsdk.a[arm64][181]                         			0.00M
UMCommon[59]                                       			0.00M
UMAPM[120]                                         			0.00M
FlutterPluginRegistrant[3]                         			0.00M
libsqlite3.tbd                                     			0.00M
libcommonCrypto.dylib                              			0.00M
libspeechsdk.a[arm64][156]                         			0.00M
SpeechEngineToB[4]                                 			0.00M
libJCore.a[8]                                      			0.00M
libJCore.a[43]                                     			0.00M
bugly_crash[3]                                     			0.00M
Pods_Runner[3]                                     			0.00M
libspeechsdk.a[arm64][114]                         			0.00M
UMAPM[7]                                           			0.00M
libspeechsdk.a[arm64][160]                         			0.00M
UMAPM[109]                                         			0.00M
libspeechsdk.a[arm64][159]                         			0.00M
libspeechsdk.a[arm64][150]                         			0.00M
AudioToolbox.tbd                                   			0.00M
libspeechsdk.a[arm64][134]                         			0.00M
libspeechsdk.a[arm64][197]                         			0.00M
libspeechsdk.a[arm64][169]                         			0.00M
PhotosUI.tbd                                       			0.00M
libspeechsdk.a[arm64][151]                         			0.00M
libsystem_asl.dylib                                			0.00M
libspeechsdk.a[arm64][145]                         			0.00M
libspeechsdk.a[arm64][177]                         			0.00M
libsystem_info.dylib                               			0.00M
UMAPM[16]                                          			0.00M
libswiftCompatibility51.a[arm64][6]                			0.00M
libspeechsdk.a[arm64][173]                         			0.00M
SystemConfiguration.tbd                            			0.00M
AudioToolboxCore                                   			0.00M
FlutterContainerNameType.o                         			0.00M
UMAPM[141]                                         			0.00M
WebViewController+BridgeContext.o                  			0.00M
libspeechsdk.a[arm64][135]                         			0.00M
UMAPM[95]                                          			0.00M
libspeechsdk.a[arm64][196]                         			0.00M
libdyld.dylib                                      			0.00M
libspeechsdk.a[arm64][163]                         			0.00M
libspeechsdk.a[arm64][262]                         			0.00M
Combine.tbd                                        			0.00M
libswift_Concurrency.tbd                           			0.00M
libswiftCompatibilityDynamicReplacements.a[arm64][6] 			0.00M
libspeechsdk.a[arm64][186]                         			0.00M
libz.1.tbd                                         			0.00M
ObfuscateMacroAES.o                                			0.00M
BCBridgeContext.o                                  			0.00M
libspeechsdk.a[arm64][193]                         			0.00M
libswiftos.tbd                                     			0.00M
tlv-file                                           			0.00M
libresolv.9.tbd                                    			0.00M
libspeechsdk.a[arm64][83]                          			0.00M
libspeechsdk.a[arm64][198]                         			0.00M
libsystem_malloc.dylib                             			0.00M
libspeechsdk.a[arm64][153]                         			0.00M
libspeechsdk.a[arm64][126]                         			0.00M
Defaults.tbd                                       			0.00M
UMAPM[79]                                          			0.00M
libspeechsdk.a[arm64][148]                         			0.00M
CoreTelephony.tbd                                  			0.00M
HomePageViewController+BridgeContext.o             			0.00M
libspeechsdk.a[arm64][147]                         			0.00M
libspeechsdk.a[arm64][152]                         			0.00M
Lottie.tbd                                         			0.00M
BCHybridManifest.o                                 			0.00M
libsystem_blocks.dylib                             			0.00M
libspeechsdk.a[arm64][88]                          			0.00M
libspeechsdk.a[arm64][164]                         			0.00M
UMAPM[136]                                         			0.00M
libsystem_dnssd.dylib                              			0.00M
libsystem_platform.dylib                           			0.00M
UIFoundation                                       			0.00M
libspeechsdk.a[arm64][102]                         			0.00M
libspeechsdk.a[arm64][142]                         			0.00M
libspeechsdk.a[arm64][195]                         			0.00M
RxRelay.tbd                                        			0.00M
UMAPM[102]                                         			0.00M
libspeechsdk.a[arm64][231]                         			0.00M
Kingfisher                                         			0.00M
UMAPM[134]                                         			0.00M
libspeechsdk.a[arm64][121]                         			0.00M
libmacho.dylib                                     			0.00M
UMAPM[84]                                          			0.00M
CoreServices.tbd                                   			0.00M
AVFAudio.tbd                                       			0.00M
libswiftObjectiveC.tbd                             			0.00M
libswiftUniformTypeIdentifiers.tbd                 			0.00M
HomePageViewController+TTSConfig.o                 			0.00M
QuartzCore.tbd                                     			0.00M
inits-file                                         			0.00M
RxAlamofire.tbd                                    			0.00M
RxGesture.tbd                                      			0.00M
libsystem_trace.dylib                              			0.00M
libswiftCoreFoundation.tbd                         			0.00M
CoreLocation.tbd                                   			0.00M
libspeechsdk.a[arm64][300]                         			0.00M
libunwind.dylib                                    			0.00M
libxpc.dylib                                       			0.00M
AliyunLogProducer.tbd                              			0.00M
RxCocoa.tbd                                        			0.00M
libswiftCompatibility56.a[arm64][10]               			0.00M
UMAPM[146]                                         			0.00M
AVFCore                                            			0.00M
libcompiler_rt.dylib                               			0.00M
Flutter                                            			0.00M
HomeGuidePopupView.o                               			0.00M
SensitiveDefines.o                                 			0.00M
Exported.o                                         			0.00M
PrivacyManager.o                                   			0.00M
AppLogger+TagName.o                                			0.00M
总体积:                                                 9.44M
